City,Temperature (Celcius),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude Coord.,Longitude Coord.,Country
Saint-Louis,28,74,0,5.1,16.03,-16.5,SN
Las Vegas,28.78,17,1,3.1,36.17,-115.15,US
Hokitika,8.28,75,99,0.83,-42.72,170.96,NZ
Pecos,31.33,31,1,6.2,31.42,-103.49,US
Kysyl-Syr,14.68,95,99,0.91,63.9,122.77,RU
Qaqortoq,19,20,75,11.3,60.72,-46.03,GL
Bom Jesus,28.58,48,60,2.66,-9.08,-44.36,BR
Stoumont,17.51,48,20,4.1,50.41,5.81,BE
Aksu,16,87,0,3,52.04,76.93,KZ
Mbandaka,23.48,78,39,1.31,0.05,18.26,CD
Maunabo,30.55,62,40,5.7,18.01,-65.9,PR
Port-Cartier,22.65,31,40,9.3,50.03,-66.88,CA
Kattivakkam,31.39,70,40,4.6,13.22,80.32,IN
Carson City,19.05,31,1,6.01,39.16,-119.77,US
Ulaanbaatar,13,58,0,2,47.92,106.92,MN
Rabo de Peixe,21,94,75,6.7,37.8,-25.58,PT
Key West,27.01,65,40,9.3,47.93,-96.78,US
Namie,15.84,72,100,0.86,37.52,140.86,JP
San Andres,25.08,92,100,1.41,13.32,122.68,PH
Williamsburg,28.95,79,1,3.4,37.27,-76.71,US
Arlit,39.78,11,0,1.31,18.74,7.39,NE
kimparana,36.78,30,23,4.49,12.83,-4.92,ML
Poronaysk,10.08,92,90,3.64,49.22,143.1,RU
Singaraja,24.98,66,15,3.44,-8.11,115.08,ID
Cam Ranh,29,79,40,6.2,11.92,109.15,VN
Adrar,46,9,0,4.6,27.87,-0.29,DZ
Sovetskiy,13.88,86,0,1.27,56.76,48.47,RU
Haren,15.28,82,82,2.6,53.17,6.61,NL
